date,channel_id,video_id,device_type,operating_system,traffic_source_type,traffic_source_detail,video_thumbnail_impressions,video_thumbnail_impressions_ctr
20260919,UCSes4X8uDrpc4X46hJKjejg,-4YEzVnpr50,105,5,3,what-to-watch,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-4YEzVnpr50,104,5,5,unknown,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,101,2,3,what-to-watch,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,101,9,3,what-to-watch,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,101,30,3,what-to-watch,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,102,1,3,what-to-watch,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,102,4,3,what-to-watch,2,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,102,19,3,what-to-watch,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,104,4,3,what-to-watch,9,0.22222222222222221
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,104,5,3,what-to-watch,3,0.33333333333333331
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,101,1,5,unknown,3,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,101,2,5,unknown,2,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,101,9,5,unknown,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,102,4,5,unknown,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,102,12,5,unknown,1,1
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,103,10,5,unknown,2,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,104,4,5,unknown,6,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,104,5,5,unknown,2,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,105,5,5,unknown,11,0.090909090909090912
20260919,UCSes4X8uDrpc4X46hJKjejg,-5W-IHpVhiI,103,10,7,iDGmTtZlGBM,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,104,5,3,what-to-watch,2,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,101,2,5,unknown,7,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,101,9,5,unknown,2,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,102,12,5,unknown,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,102,29,5,unknown,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,103,10,5,unknown,2,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,103,17,5,unknown,3,0.33333333333333331
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,104,4,5,unknown,5,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,104,5,5,unknown,14,0.14285714285714285
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,105,4,5,unknown,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-8W7PIiwRYo,105,5,5,unknown,2,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-9jvIbYHhag,101,2,5,unknown,1,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-9jvIbYHhag,104,5,5,unknown,3,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-9jvIbYHhag,105,5,5,unknown,2,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-9jvIbYHhag,105,5,14,my-likes,3,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-CjQjOd2JEA,101,2,3,/my_subscriptions,31,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-CjQjOd2JEA,101,9,3,/my_subscriptions,16,0.125
20260919,UCSes4X8uDrpc4X46hJKjejg,-CjQjOd2JEA,102,1,3,/my_subscriptions,5,0.2
20260919,UCSes4X8uDrpc4X46hJKjejg,-CjQjOd2JEA,102,4,3,/my_subscriptions,14,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-CjQjOd2JEA,102,12,3,/my_subscriptions,14,0
20260919,UCSes4X8uDrpc4X46hJKjejg,-CjQjOd2JEA,102,19,3,/my_subscriptions,23,0
