period,platform,metric,value
2026-08,INSTAGRAM,FOLLOWERS,653
2026-08,INSTAGRAM,FOLLOWER_GAIN,653
2026-08,INSTAGRAM,VIEWS,575071
2026-08,INSTAGRAM,ENGAGEMENTS,32016
2026-08,INSTAGRAM,POSTS,20
2026-08,INSTAGRAM,TOP_POST_VIEWS,165730
2026-08,TIKTOK,FOLLOWERS,118
2026-08,TIKTOK,FOLLOWER_GAIN,118
2026-08,TIKTOK,VIEWS,156432
2026-08,TIKTOK,ENGAGEMENTS,18159
2026-08,TIKTOK,ENGAGEMENT_RATE,0.1161
2026-08,TIKTOK,POSTS,19
2026-08,TIKTOK,TOP_POST_VIEWS,139533
2026-08,X,FOLLOWERS,5
2026-08,X,FOLLOWER_GAIN,5
2026-08,X,VIEWS,146
2026-08,X,ENGAGEMENTS,2
2026-08,X,TOP_POST_VIEWS,2
